region,date,kWh,devices,uptime,error_rate,solar_radiation_wm2,temperature_c
Sydney,2024-06-22,898,38,99.85,2.27,,
Sydney,2024-06-23,889,37,99.42,2.21,,
Sydney,2024-06-24,782,38,99.14,2.15,,
Sydney,2024-06-25,714,38,97.94,4.74,,
Sydney,2024-06-26,775,38,95.18,3.68,,
Sydney,2024-06-27,747,39,97.67,3.91,,
Sydney,2024-06-28,789,41,99.34,1.03,,
Sydney,2024-06-29,902,39,95.17,4.93,,
Brisbane,2024-01-01,909,35,95.2,0.61,,
Brisbane,2024-01-02,902,39,95.9,0.44,,
Brisbane,2024-01-03,935,37,95.74,4.93,,
Brisbane,2024-01-04,880,36,95.02,4.76,,
Brisbane,2024-01-05,971,40,96.27,2.61,,
Brisbane,2024-01-06,942,40,98.33,0.7,,
Brisbane,2024-01-07,878,40,95.81,0.94,,
Brisbane,2024-01-08,957,40,98.36,2.22,,
Brisbane,2024-01-09,915,35,98.31,4.89,,
Brisbane,2024-01-10,936,36,98.42,2.49,,
Brisbane,2024-01-11,973,34,95.15,4.65,,
Brisbane,2024-01-12,940,39,99.59,3.0,,
Brisbane,2024-01-13,967,39,98.29,5.0,,
Brisbane,2024-01-14,1016,39,96.59,4.33,,
Brisbane,2024-01-15,912,36,99.39,2.02,,
Brisbane,2024-01-16,900,39,99.63,2.19,,
Brisbane,2024-01-17,964,34,95.6,2.72,,
Brisbane,2024-01-18,905,34,96.64,3.15,,
Brisbane,2024-01-19,984,36,96.94,2.24,,
Brisbane,2024-01-20,1026,34,97.73,2.22,,
Brisbane,2024-01-21,927,39,98.21,3.8,,
Brisbane,2024-01-22,913,34,96.9,4.32,,
Brisbane,2024-01-23,800,38,99.07,0.54,,
Brisbane,2024-01-24,1040,38,96.99,2.9,,
Brisbane,2024-01-25,1041,40,99.06,3.59,,
Brisbane,2024-01-26,961,36,97.61,4.11,,
Brisbane,2024-01-27,971,38,99.49,1.22,,
Brisbane,2024-01-28,917,36,96.9,0.99,,
Brisbane,2024-01-29,855,39,97.43,1.28,,
Brisbane,2024-01-30,920,37,98.35,4.65,,
Brisbane,2024-01-31,1048,35,98.05,3.58,,
Brisbane,2024-02-01,974,34,99.88,4.12,,
Brisbane,2024-02-02,872,37,95.91,2.63,,
Brisbane,2024-02-03,928,40,96.48,3.97,,
Brisbane,2024-02-04,884,39,97.75,0.22,,
Brisbane,2024-02-05,917,35,95.56,0.01,,
Brisbane,2024-02-06,937,37,96.14,1.06,,
Brisbane,2024-02-07,1038,35,95.87,1.8,,
Brisbane,2024-02-08,934,34,96.18,3.9,,
Brisbane,2024-02-09,938,35,98.66,4.26,,
Brisbane,2024-02-10,976,36,98.12,2.26,,
Brisbane,2024-02-11,953,35,95.76,1.18,,
Brisbane,2024-02-12,921,38,95.48,0.12,,
Brisbane,2024-02-13,980,40,96.15,1.03,,
Brisbane,2024-02-14,859,38,97.97,2.48,,
Brisbane,2024-02-15,963,35,96.37,2.99,,
Brisbane,2024-02-16,894,38,98.59,3.46,,
Brisbane,2024-02-17,1020,40,96.71,4.09,,
Brisbane,2024-02-18,843,40,98.86,1.32,,
Brisbane,2024-02-19,977,38,99.47,0.96,,
Brisbane,2024-02-20,870,34,98.09,2.21,,
Brisbane,2024-02-21,889,37,95.34,4.0,,
Brisbane,2024-02-22,937,39,97.96,3.4,,
Brisbane,2024-02-23,847,37,96.62,1.67,,
Brisbane,2024-02-24,960,35,97.23,1.67,,
Brisbane,2024-02-25,1022,39,97.81,4.79,,
Brisbane,2024-02-26,952,34,95.85,2.05,,
Brisbane,2024-02-27,879,39,97.25,3.78,,
Brisbane,2024-02-28,991,37,97.37,1.91,,
Brisbane,2024-02-29,864,40,97.0,0.76,,
Brisbane,2024-03-01,986,38,95.46,1.29,,
Brisbane,2024-03-02,932,40,99.32,3.04,,
Brisbane,2024-03-03,863,38,95.18,1.52,,
Brisbane,2024-03-04,926,35,96.71,1.9,,
Brisbane,2024-03-05,864,34,96.53,1.98,,
Brisbane,2024-03-06,889,40,99.71,4.37,,
Brisbane,2024-03-07,947,40,99.96,4.26,,
Brisbane,2024-03-08,898,35,97.51,1.99,,
Brisbane,2024-03-09,1035,39,99.39,4.34,,
Brisbane,2024-03-10,959,39,95.71,1.06,,
Brisbane,2024-03-11,898,36,95.87,3.47,,
Brisbane,2024-03-12,974,35,99.79,2.87,,
Brisbane,2024-03-13,931,38,99.31,4.61,,
Brisbane,2024-03-14,960,39,95.7,4.49,,
Brisbane,2024-03-15,899,36,96.99,0.73,,
Brisbane,2024-03-16,972,38,95.61,2.39,,
Brisbane,2024-03-17,846,38,97.75,4.83,,
Brisbane,2024-03-18,927,37,96.56,2.53,,
Brisbane,2024-03-19,878,39,95.0,0.09,,
Brisbane,2024-03-20,918,35,98.25,0.76,,
Brisbane,2024-03-21,891,36,98.77,3.1,,
Brisbane,2024-03-22,922,40,99.92,1.2,,
Brisbane,2024-03-23,894,37,98.09,3.17,,
Brisbane,2024-03-24,910,34,96.16,1.1,,
Brisbane,2024-03-25,950,39,97.13,0.65,,
Brisbane,2024-03-26,874,37,97.02,3.27,,
Brisbane,2024-03-27,944,39,99.14,3.67,,
Brisbane,2024-03-28,816,39,99.82,1.24,,
Brisbane,2024-03-29,913,39,96.3,3.8,,
Brisbane,2024-03-30,873,35,95.95,3.09,,
Brisbane,2024-03-31,972,38,99.88,4.01,,
Brisbane,2024-04-01,900,38,95.21,1.86,,
Brisbane,2024-04-02,966,38,99.22,0.49,,
Brisbane,2024-04-03,860,35,95.64,4.32,,
Brisbane,2024-04-04,962,36,96.88,1.97,,
Brisbane,2024-04-05,863,39,96.96,4.78,,
Brisbane,2024-04-06,948,35,97.19,1.27,,
Brisbane,2024-04-07,933,35,99.65,1.27,,
Brisbane,2024-04-08,954,40,98.3,4.48,,
Brisbane,2024-04-09,950,34,98.07,0.33,,
Brisbane,2024-04-10,865,37,97.56,3.4,,
Brisbane,2024-04-11,928,38,95.19,3.73,,
Brisbane,2024-04-12,980,36,95.06,4.78,,
Brisbane,2024-04-13,954,38,96.94,2.31,,
Brisbane,2024-04-14,871,38,98.3,3.82,,
Brisbane,2024-04-15,836,35,95.1,0.41,,
Brisbane,2024-04-16,955,35,98.34,0.05,,
Brisbane,2024-04-17,991,37,98.08,3.87,,
Brisbane,2024-04-18,948,39,99.48,1.61,,
Brisbane,2024-04-19,1033,37,96.46,4.9,,
Brisbane,2024-04-20,998,40,97.6,3.08,,
Brisbane,2024-04-21,1015,35,95.64,1.69,,
Brisbane,2024-04-22,873,37,96.94,0.82,,
Brisbane,2024-04-23,827,37,96.2,0.61,,
Brisbane,2024-04-24,936,38,96.43,4.08,,
Brisbane,2024-04-25,917,40,99.4,1.29,,
Brisbane,2024-04-26,1031,39,97.3,4.21,,
Brisbane,2024-04-27,959,39,98.88,3.28,,
Brisbane,2024-04-28,934,36,96.35,2.7,,
Brisbane,2024-04-29,860,38,95.82,0.66,,
Brisbane,2024-04-30,966,40,97.44,0.75,,
Brisbane,2024-05-01,954,37,98.66,2.71,,
Brisbane,2024-05-02,937,40,95.53,0.76,,
Brisbane,2024-05-03,1055,39,99.37,3.18,,
Brisbane,2024-05-04,894,35,97.79,4.06,,
Brisbane,2024-05-05,949,37,98.63,4.96,,
Brisbane,2024-05-06,915,35,98.29,1.55,,
Brisbane,2024-05-07,882,38,98.67,3.08,,
Brisbane,2024-05-08,899,38,97.69,2.62,,
Brisbane,2024-05-09,869,35,98.8,0.18,,
Brisbane,2024-05-10,886,35,98.79,3.39,,
Brisbane,2024-05-11,957,36,99.21,2.35,,
Brisbane,2024-05-12,871,40,97.24,3.61,,
Brisbane,2024-05-13,925,39,97.97,1.96,,
Brisbane,2024-05-14,1009,38,95.15,0.83,,
Brisbane,2024-05-15,887,37,98.97,0.46,,
Brisbane,2024-05-16,897,39,98.62,0.52,,
Brisbane,2024-05-17,1053,35,97.81,2.8,,
Brisbane,2024-05-18,1007,35,98.01,0.11,,
Brisbane,2024-05-19,973,36,97.49,0.39,,
Brisbane,2024-05-20,916,39,99.91,1.05,,
Brisbane,2024-05-21,902,37,97.59,2.2,,
Brisbane,2024-05-22,903,40,96.18,1.86,,
Brisbane,2024-05-23,881,34,97.99,3.68,,
Brisbane,2024-05-24,874,37,97.48,0.89,,
Brisbane,2024-05-25,1018,40,97.05,4.2,,
Brisbane,2024-05-26,985,38,95.92,1.81,,
Brisbane,2024-05-27,828,35,95.83,3.5,,
Brisbane,2024-05-28,1009,39,97.59,1.49,,
Brisbane,2024-05-29,1009,38,95.28,4.26,,
Brisbane,2024-05-30,896,38,97.4,2.18,,
Brisbane,2024-05-31,860,38,98.53,3.16,,
Brisbane,2024-06-01,930,37,98.83,0.79,,
Brisbane,2024-06-02,932,37,95.66,1.99,,
Brisbane,2024-06-03,922,38,95.34,0.29,,
Brisbane,2024-06-04,966,39,95.18,1.38,,
Brisbane,2024-06-05,969,35,96.36,3.8,,
Brisbane,2024-06-06,890,35,99.22,1.34,,
Brisbane,2024-06-07,934,36,95.31,4.53,,
Brisbane,2024-06-08,917,34,96.73,1.58,,
Brisbane,2024-06-09,917,40,95.11,3.32,,
Brisbane,2024-06-10,931,37,95.64,4.41,,
Brisbane,2024-06-11,983,39,98.65,4.91,,
Brisbane,2024-06-12,906,35,95.72,3.63,,
Brisbane,2024-06-13,897,36,99.86,3.04,,
Brisbane,2024-06-14,872,34,95.92,0.11,,
Brisbane,2024-06-15,895,34,99.25,2.81,,
Brisbane,2024-06-16,1006,34,99.9,1.14,,
Brisbane,2024-06-17,976,40,98.54,2.72,,
Brisbane,2024-06-18,811,39,96.13,4.23,,
Brisbane,2024-06-19,870,39,99.25,3.35,,
Brisbane,2024-06-20,914,35,99.31,2.3,,
Brisbane,2024-06-21,883,40,97.56,4.03,,
Brisbane,2024-06-22,975,35,99.89,3.97,,
Brisbane,2024-06-23,818,38,95.82,1.65,,
Brisbane,2024-06-24,923,39,98.77,0.09,,
Brisbane,2024-06-25,943,37,99.35,1.19,,
Brisbane,2024-06-26,883,34,97.8,3.75,,
Brisbane,2024-06-27,1016,39,96.72,1.41,,
Brisbane,2024-06-28,1026,35,97.49,0.53,,
Brisbane,2024-06-29,977,35,95.47,2.21,,
Perth,2024-01-01,896,32,96.02,2.62,,
Perth,2024-01-02,917,33,96.38,1.56,,
Perth,2024-01-03,838,30,96.98,4.58,,
Perth,2024-01-04,810,33,97.79,0.83,,
Perth,2024-01-05,877,32,96.82,4.49,,
Perth,2024-01-06,872,33,96.01,0.92,,
Perth,2024-01-07,807,34,98.66,4.1,,
Perth,2024-01-08,921,35,95.42,4.41,,
Perth,2024-01-09,840,33,98.7,1.6,,
Perth,2024-01-10,871,34,98.34,3.17,,
Perth,2024-01-11,886,33,99.99,4.9,,
Perth,2024-01-12,828,34,97.8,2.64,,
Perth,2024-01-13,889,30,99.11,1.05,,
Perth,2024-01-14,886,33,99.29,4.1,,
Perth,2024-01-15,867,31,95.55,3.8,,
Perth,2024-01-16,805,31,99.1,4.4,,
Perth,2024-01-17,925,35,95.87,3.56,,
Perth,2024-01-18,843,30,98.7,0.96,,
Perth,2024-01-19,850,32,98.26,3.1,,
Perth,2024-01-20,921,32,99.22,1.27,,
Perth,2024-01-21,849,30,95.63,3.38,,
Perth,2024-01-22,931,33,98.41,0.84,,
Perth,2024-01-23,815,33,96.14,4.19,,
Perth,2024-01-24,915,33,99.33,1.08,,
Perth,2024-01-25,804,36,96.06,0.17,,
Perth,2024-01-26,922,35,99.52,1.16,,
Perth,2024-01-27,805,30,98.94,3.32,,
Perth,2024-01-28,891,32,95.0,0.85,,
Perth,2024-01-29,859,31,97.24,2.3,,
Perth,2024-01-30,878,32,97.06,4.01,,
Perth,2024-01-31,926,32,97.11,0.21,,
Perth,2024-02-01,888,36,95.64,3.54,,
Perth,2024-02-02,881,35,99.55,3.77,,
Perth,2024-02-03,915,33,98.18,2.25,,
Perth,2024-02-04,845,35,95.6,0.34,,
Perth,2024-02-05,786,35,97.99,1.49,,
Perth,2024-02-06,897,32,98.65,2.99,,
Perth,2024-02-07,853,35,99.46,0.93,,
Perth,2024-02-08,911,36,97.66,4.19,,
Perth,2024-02-09,843,32,99.98,4.28,,
Perth,2024-02-10,786,36,98.29,1.26,,
Perth,2024-02-11,868,34,95.47,4.55,,
Perth,2024-02-12,795,33,99.34,0.32,,
Perth,2024-02-13,845,35,97.17,3.87,,
Perth,2024-02-14,883,30,96.7,0.82,,
Perth,2024-02-15,943,32,96.19,2.56,,
Perth,2024-02-16,857,33,96.17,3.93,,
Perth,2024-02-17,861,30,97.53,3.17,,
Perth,2024-02-18,784,35,99.46,0.01,,
Perth,2024-02-19,876,32,95.7,1.38,,
Perth,2024-02-20,848,30,97.25,2.36,,
Perth,2024-02-21,843,34,97.37,2.95,,
Perth,2024-02-22,985,34,95.03,0.04,,
Perth,2024-02-23,856,34,97.19,1.09,,
Perth,2024-02-24,833,31,96.47,4.66,,
Perth,2024-02-25,832,30,99.09,2.66,,
Perth,2024-02-26,861,32,97.54,4.37,,
Perth,2024-02-27,966,32,97.25,4.65,,
Perth,2024-02-28,868,34,96.97,2.11,,
Perth,2024-02-29,913,34,96.29,3.37,,
Perth,2024-03-01,862,30,99.12,4.78,,
Perth,2024-03-02,847,34,99.15,0.2,,
Perth,2024-03-03,878,33,98.43,0.57,,
Perth,2024-03-04,829,31,95.46,2.98,,
Perth,2024-03-05,761,33,99.5,2.02,,
Perth,2024-03-06,928,31,98.34,3.39,,
Perth,2024-03-07,830,31,99.44,2.99,,
Perth,2024-03-08,814,30,98.06,4.37,,
Perth,2024-03-09,871,33,98.19,3.7,,
Perth,2024-03-10,935,35,95.71,0.06,,
Perth,2024-03-11,877,35,97.66,2.24,,
Perth,2024-03-12,862,34,95.62,2.79,,
Perth,2024-03-13,833,36,97.33,4.08,,
Perth,2024-03-14,863,32,97.15,3.36,,
Perth,2024-03-15,839,36,97.71,4.31,,
Perth,2024-03-16,801,32,97.25,2.9,,
Perth,2024-03-17,894,30,97.15,1.59,,
Perth,2024-03-18,779,30,95.14,1.96,,
Perth,2024-03-19,930,36,97.56,0.83,,
Perth,2024-03-20,851,30,96.73,0.77,,
Perth,2024-03-21,877,34,97.59,1.89,,
Perth,2024-03-22,893,30,98.39,3.03,,
Perth,2024-03-23,937,31,99.21,2.9,,
Perth,2024-03-24,824,30,95.7,2.43,,
Perth,2024-03-25,878,32,97.66,0.68,,
Perth,2024-03-26,865,32,96.94,0.8,,
Perth,2024-03-27,863,31,96.57,0.74,,
Perth,2024-03-28,816,31,95.58,4.78,,
Perth,2024-03-29,869,34,97.37,2.22,,
Perth,2024-03-30,872,34,96.44,4.81,,
Perth,2024-03-31,879,33,95.15,4.85,,
Perth,2024-04-01,1003,34,98.81,4.17,,
Perth,2024-04-02,781,32,96.78,4.13,,
Perth,2024-04-03,828,34,96.71,1.35,,
Perth,2024-04-04,899,33,99.15,2.72,,
Perth,2024-04-05,886,34,97.22,3.13,,
Perth,2024-04-06,812,32,96.04,3.91,,
Perth,2024-04-07,826,35,97.85,3.1,,
Perth,2024-04-08,924,34,98.65,0.74,,
Perth,2024-04-09,894,35,96.14,4.82,,
Perth,2024-04-10,909,34,98.0,1.77,,
Perth,2024-04-11,844,35,98.95,0.62,,
Perth,2024-04-12,869,30,98.4,2.33,,
Perth,2024-04-13,872,33,97.42,4.32,,
Perth,2024-04-14,904,36,96.51,2.46,,
Perth,2024-04-15,1005,36,96.93,2.56,,
Perth,2024-04-16,919,30,96.81,3.63,,
Perth,2024-04-17,866,33,99.14,3.82,,
Perth,2024-04-18,919,33,99.03,2.38,,
Perth,2024-04-19,820,36,99.42,2.24,,
Perth,2024-04-20,831,34,99.86,1.1,,
Perth,2024-04-21,915,35,98.44,3.61,,
Perth,2024-04-22,910,35,97.64,3.16,,
Perth,2024-04-23,925,30,96.39,1.05,,
Perth,2024-04-24,895,30,98.97,4.95,,
Perth,2024-04-25,865,34,98.7,0.71,,
Perth,2024-04-26,853,34,99.11,4.05,,
Perth,2024-04-27,888,36,95.44,2.44,,
Perth,2024-04-28,905,35,96.4,3.44,,
Perth,2024-04-29,976,34,99.74,0.36,,
Perth,2024-04-30,910,34,95.5,4.34,,
Perth,2024-05-01,835,31,98.97,3.54,,
Perth,2024-05-02,888,33,95.73,3.55,,
Perth,2024-05-03,816,31,96.41,4.02,,
Perth,2024-05-04,903,35,95.76,1.33,,
Perth,2024-05-05,874,36,96.13,3.2,,
Perth,2024-05-06,854,34,95.17,1.07,,
Perth,2024-05-07,945,36,99.44,2.52,,
Perth,2024-05-08,847,35,97.27,4.11,,
Perth,2024-05-09,974,31,96.21,3.57,,
Perth,2024-05-10,912,33,96.52,1.45,,
Perth,2024-05-11,821,32,98.88,1.36,,
Perth,2024-05-12,879,36,95.79,4.41,,
Perth,2024-05-13,899,30,98.74,1.59,,
Perth,2024-05-14,912,36,95.95,3.92,,
Perth,2024-05-15,906,30,95.31,4.2,,
Perth,2024-05-16,951,30,96.7,4.7,,
Perth,2024-05-17,863,30,99.21,1.57,,
Perth,2024-05-18,878,33,99.54,4.71,,
Perth,2024-05-19,777,33,98.38,0.58,,
Perth,2024-05-20,812,36,97.47,1.94,,
Perth,2024-05-21,942,31,95.7,1.27,,
Perth,2024-05-22,917,32,98.33,4.83,,
Perth,2024-05-23,818,34,97.38,3.17,,
Perth,2024-05-24,924,34,95.24,1.8,,
Perth,2024-05-25,871,30,97.38,0.55,,
Perth,2024-05-26,901,35,98.85,0.01,,
Perth,2024-05-27,857,34,99.11,4.25,,
Perth,2024-05-28,887,30,98.29,2.36,,
Perth,2024-05-29,857,34,98.77,0.18,,
Perth,2024-05-30,889,30,95.68,3.26,,
Perth,2024-05-31,828,33,95.26,3.41,,
Perth,2024-06-01,927,35,96.0,4.45,,
Perth,2024-06-02,827,30,99.12,3.91,,
Perth,2024-06-03,800,34,96.34,4.18,,
Perth,2024-06-04,860,30,98.68,1.65,,
Perth,2024-06-05,821,33,97.98,0.05,,
Perth,2024-06-06,898,33,96.99,3.81,,
Perth,2024-06-07,869,36,98.87,3.86,,
Perth,2024-06-08,893,32,97.88,0.38,,
Perth,2024-06-09,872,36,99.04,0.6,,
Perth,2024-06-10,920,31,96.12,3.21,,
Perth,2024-06-11,834,33,95.01,1.5,,
Perth,2024-06-12,879,36,98.38,2.73,,
Perth,2024-06-13,874,30,98.03,1.46,,
Perth,2024-06-14,847,32,98.55,4.69,,
Perth,2024-06-15,851,31,97.42,3.74,,
Perth,2024-06-16,836,31,99.95,1.2,,
Perth,2024-06-17,869,33,97.72,4.81,,
Perth,2024-06-18,861,32,98.63,3.1,,
Perth,2024-06-19,838,30,98.11,3.91,,
Perth,2024-06-20,815,34,97.64,4.53,,
Perth,2024-06-21,883,36,98.37,1.3,,
Perth,2024-06-22,903,35,97.35,4.45,,
Perth,2024-06-23,859,30,98.45,3.45,,
Perth,2024-06-24,871,30,97.24,0.67,,
Perth,2024-06-25,910,31,96.51,3.81,,
Perth,2024-06-26,894,35,95.38,1.37,,
Perth,2024-06-27,864,35,98.8,2.73,,
Perth,2024-06-28,862,32,95.83,2.23,,
Perth,2024-06-29,805,33,99.49,3.37,,
